Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
Ardmore,Ardbeg,AnCnoc,Aberfeldy,Balblair,Isle Of Arran
Bowmore,Caol Ila,Auchentoshan,Aberlour,Craigganmore,GlenDeveron/Macduff
Bruichladdich,Clynelish,Aultmore,Auchroisk,GlenGarioch,GlenElgin
Craigallechie,Lagavulin,Benriach,Balmenach,GlenKeith,Glen Spey
GlenScotia,Laphroig,Bladnoch,Belvenie,Glenmorangie,Glenlivet
Highland Park,Talisker,Bunnahabhain,BenNevis,Oban,Glenrothes
Isle of Jura,,Cardhu,Benrinnes,Royal Brackla,Glenturret
Old Fettercairn,,Dalwhinnie,Benromach,Strathmill,Inchgower
Old Pulteney,,Deanston,BlairAthol,Tamnavulin,Knochando
Springbank,,Dufftown,Dailuaine,Teaninich,Linkwood
Tormore,,GlenGrant,Dalmore,Tullibardine,Miltonduff
,,GlenMoray,Edradour,,Speyburn
,,Glenallachie,GlenOrd,,Tomatin
,,Glenfiddich,Glendronach,,Tomintoul
,,Glengoyne,Glendullan,,
,,Glenkinchie,Glenfarclas,,
,,Glenlossie,Longmorn,,
,,Loch Lomond,Macallan,,
,,Mannochmore,Mortlach,,
,,Scapa,Royal Lochnagar,,
,,Speyside,Strathisla,,
,,Tamdhu,,,
,,Tobermory,,,